id,name,x1,y1,x2,y2
91,17552631,59,44,66,45
92,17552632,59,44,66,43
93,17552633,59,44,67,48
94,17552634,59,44,66,44
95,17552635,59,44,67,49
96,17552636,71,47,67,49
97,17552637,57,46,59,43
98,17552638,59,44,60,48
99,17552639,59,44,63,43
100,17552640,59,44,64,43
101,17552642,42,50,43,52
102,17552643,59,44,44,41
103,17552644,63,42,67,48
104,17552645,59,44,59,41
105,17552647,59,44,62,41
106,17552649,52,38,53,36
107,17552648,43,48,47,42
108,17552650,57,62,69,48
109,17552653,59,44,59,43
110,17552654,63,42,65,46
111,17552655,38,46,44,41
112,17552656,62,42,54,44
113,17552657,69,46,65,46
114,17552658,48,57,58,49
115,17552660,56,36,50,36
116,17552661,59,44,61,43
117,17552662,59,44,65,42
118,17552665,57,61,54,60
119,17552667,38,50,47,50
120,17552668,58,45,63,44
121,17552669,55,58,54,59
122,17552670,58,43,59,42
123,17552671,61,55,60,44
124,17552672,59,43,60,46
125,17552673,71,36,63,44
126,17552674,53,36,66,40
127,17552675,46,66,44,66
128,17552676,47,70,44,70
129,17552677,52,32,59,44
130,17552678,58,45,59,44
131,17552679,53,64,53,57
132,17552680,55,53,46,54
133,17552681,65,46,66,48
134,17552682,62,43,58,43
135,17552684,59,44,54,45
136,17552685,53,67,53,66
137,17552686,59,43,38,54
138,17552687,59,43,65,45
139,17552688,46,40,44,41
140,17552689,54,54,38,54
141,17552690,43,50,38,46
142,17552691,55,43,59,44
143,17552693,52,39,63,43
144,17552695,59,43,54,41
145,17552696,54,38,59,43
146,17552697,59,43,67,48
147,17552698,60,62,63,45
148,17552700,24,66,25,64
149,17552701,59,43,62,48
150,17552702,67,40,59,43
151,17552703,59,47,59,44
152,17552704,55,44,59,44
153,17552706,49,60,54,60
154,17552707,62,48,63,43
155,17552708,56,52,67,48
156,17552709,26,57,34,56
157,17552710,68,47,64,44
158,17552711,59,44,59,44
159,17552712,62,53,62,50
160,17552713,42,50,44,50
161,17552714,47,58,59,44
162,17552715,59,44,66,36
163,17552716,63,48,58,43
164,17552717,58,49,60,46
165,17552718,52,55,49,56
166,17552719,60,42,56,39
167,17552721,59,44,64,49
168,17552722,44,50,53,53
169,17552723,59,44,62,42
170,17552724,51,59,52,55
171,17552725,63,42,63,43
172,17552726,56,64,53,66
173,17552727,43,47,39,35
174,17552728,69,46,58,45
175,17552730,65,50,60,46
176,17552732,53,57,61,46
177,17552735,60,62,56,52
178,17552736,68,45,54,45
179,17552737,30,54,38,54
180,17552739,66,39,62,42
181,17552740,56,63,55,67
182,17552741,59,43,67,46
183,17552742,63,48,67,48
184,17552743,62,42,52,45
185,17552744,39,52,43,52
186,17552745,63,45,62,42
187,17552746,59,44,68,45
188,17552747,66,36,64,43
189,17552748,60,40,59,43
190,17552749,61,43,66,44
191,17552750,53,64,61,55
192,17552751,63,42,66,45
193,17552753,63,43,62,48
194,17552754,59,44,63,47
195,17552755,50,77,47,73
196,17552756,43,54,45,52
197,17552757,63,43,69,48
198,17552760,68,45,66,43
199,17552761,58,49,66,48
200,17552763,63,43,65,46
201,17552765,59,44,58,45
202,17552767,58,45,64,48
203,17552768,41,28,50,43
204,17552770,66,37,67,48
205,17552771,51,57,63,43
206,17552773,59,47,59,43
207,17552774,55,67,53,66
208,17552775,54,45,67,48
209,17552777,39,49,43,52
210,17552778,38,54,52,45
211,17552779,62,42,61,46
212,17552781,58,43,61,43
213,17552782,55,58,62,43
214,17552783,62,51,58,49
215,17552786,56,47,61,43
216,17552788,55,44,65,46
217,17552790,49,58,46,54
218,17552791,46,66,53,68
219,17552792,59,47,60,46
220,17552793,66,44,59,44
221,17552794,66,43,61,43
222,17552795,66,45,67,48
223,17552796,51,58,52,55
224,17552797,66,48,65,50
225,17552798,28,55,43,54
226,17552799,45,52,66,44
227,17552800,46,54,61,55
228,17552801,52,43,60,46
229,17552802,43,54,64,44
230,17552803,57,61,72,47
231,17552804,56,60,63,47
232,17552805,57,61,53,62
233,17552806,63,52,53,53
234,17552807,76,17,86,17
235,17552809,60,46,56,47
236,17552810,71,47,65,50
237,17552811,59,28,65,28
238,17552813,67,40,63,42
239,17552815,55,57,59,44
240,17552817,60,46,64,44
241,17552818,54,45,52,45
242,17552819,66,44,58,49
243,17552820,59,43,62,50
244,17552821,66,45,64,48
245,17552823,55,55,58,43
246,17552824,38,54,54,45
247,17552825,66,44,54,45
248,17552826,61,55,64,44
249,17552829,69,46,65,47
250,17552830,34,61,49,56
251,17552833,40,58,42,59
252,17552835,45,52,46,54
253,17552836,68,45,67,48
254,17552838,66,40,66,44
255,17552840,55,58,53,57
256,17552841,66,48,59,44
257,17552842,44,70,42,72
258,17552843,59,44,63,44
259,17552844,66,36,66,39
260,17552846,62,42,67,40
261,17552848,58,45,60,46
262,17552849,58,52,60,46
263,17552850,49,67,49,63
264,17552852,46,72,44,70
265,17552855,59,43,61,45
266,17552856,58,45,44,41
267,17552857,44,50,47,42
268,17552860,59,44,65,46
269,17552861,67,49,62,43
270,17552862,62,48,60,42
271,17552863,55,44,56,47
272,17552864,59,44,61,48
273,17552865,52,55,46,54
274,17552867,60,44,66,39
275,17552870,42,72,42,70
276,17552871,60,42,66,43
277,17552876,49,50,67,48
278,17552878,63,43,67,46
279,17552879,52,43,61,43
280,17552880,65,42,68,45
281,17552881,53,43,59,44
282,17552882,67,40,67,40
283,17552883,43,54,44,64
284,17552884,47,49,61,43
285,17552887,59,43,54,45
286,17552891,41,52,43,52
287,17552892,68,47,66,45
288,17552894,66,36,65,42
289,17552896,29,56,29,58
290,17552895,42,63,46,63
291,17552897,58,49,58,49
292,17552899,64,49,62,53
293,17552900,50,44,62,43
294,17552902,59,43,44,41
295,17552903,50,48,69,48
296,17552904,34,49,60,44
297,17552909,42,70,43,74
298,17552912,59,44,65,47
299,17552915,59,44,62,48
300,17552916,56,41,55,42
301,17552917,49,56,67,48
302,17552918,47,52,58,49
303,17552919,66,36,61,43
304,17552921,61,61,67,48
305,17552922,60,53,67,48
306,17552923,40,86,42,90
307,17552924,36,72,38,70
308,17552926,62,42,63,45
309,17552927,68,36,63,44
310,17552928,59,44,69,35
311,17552933,66,44,61,43
312,17552934,65,45,59,44
313,17552935,62,48,67,48
314,17552936,61,46,58,50
315,17552937,59,43,60,48
316,17552938,51,40,50,41
317,17552944,65,36,55,42
318,17552945,59,47,60,43
319,17552947,59,43,64,45
320,17552948,63,45,64,49
321,17552949,66,44,60,56
322,17552950,47,49,60,46
323,17552966,59,44,52,45
324,17552967,59,44,58,49
325,17552951,38,46,64,49
326,17552952,72,47,61,45
327,17552953,47,47,52,44
328,17552954,72,47,61,46
329,17552955,46,63,42,70
330,17552956,50,41,63,45
331,17552957,38,46,50,43
332,17552958,67,48,63,44
333,17552959,50,43,55,43
334,17552961,47,73,51,73
335,17552962,38,70,44,70
336,17552963,59,43,46,40
337,17552969,49,67,53,66
338,17552970,66,48,67,45
339,17552972,46,63,56,49
340,17552973,61,55,64,49
341,17552974,59,44,67,45
342,17552976,59,44,65,45
343,17552977,38,46,39,42
344,17552979,61,43,66,40
345,17552981,59,43,66,48
346,17552982,58,58,55,58
347,17552983,59,44,52,43
348,17552984,63,45,65,46
349,17552985,62,42,66,41
350,17552986,57,46,65,47
351,17552987,56,63,53,62
352,17552989,67,49,64,49
353,17552992,51,61,58,49
354,17552993,43,74,44,70
355,17552994,65,51,65,45
356,17552995,54,45,59,43
357,17552997,54,38,46,40
358,17552998,29,56,34,56
359,17553000,60,42,69,39
360,17553003,29,75,45,63
361,17553004,60,42,66,40
362,17553006,66,43,59,43
363,17553007,35,64,56,52
364,17553010,65,42,59,43
365,17553011,49,58,53,57
366,17553012,59,44,50,43
367,17553013,51,40,64,44
368,17553015,86,17,82,17
369,17553016,66,43,62,43
370,17553017,46,53,46,54
371,17553018,62,42,61,43
372,17553019,59,47,63,43
373,17553021,63,43,64,44
374,17553022,68,36,61,43
375,17553024,60,56,61,46
376,17553025,45,52,62,43
377,17553027,65,47,59,43
378,17553032,65,46,69,48
379,17553034,47,42,45,42
380,17553035,52,44,66,44
381,17553036,50,80,50,78
382,17553037,65,50,72,47
383,17553039,57,45,54,45
384,17553040,54,41,59,43
385,17553041,50,48,44,41
386,17553044,56,47,69,48
387,17553045,69,46,58,49
388,17553046,67,49,63,44
389,17553047,60,57,53,48
390,17553048,39,49,68,47
391,17553049,43,74,42,70
392,17553050,59,44,68,47
393,17553054,68,45,64,44
394,17553055,50,36,56,36
395,17553057,58,58,54,59
396,17553058,53,43,47,42
397,17553060,67,38,64,43
398,17553061,64,41,44,41
399,17553062,64,49,63,44
400,17553065,62,54,49,50
401,17553067,64,49,61,48
402,17553069,64,43,66,48
403,17553070,62,46,66,43
404,17553071,59,43,64,48
405,17553076,39,42,36,38
406,17553078,22,61,49,50
407,17553079,66,39,70,39
408,17553080,56,66,53,66
409,17553081,50,43,65,46
410,17553082,40,86,44,86
411,17553083,37,82,44,83
412,17553084,56,64,56,66
413,17553085,43,52,59,44
414,17553087,61,48,62,49
415,17553090,54,55,62,54
416,17553092,43,48,44,41
417,17553093,63,43,66,45
418,17553094,53,67,63,57
419,17553095,58,58,60,56
420,17553096,48,86,44,83
421,17553097,47,58,65,45
422,17553098,59,51,58,55
423,17553099,49,56,56,47
424,17553102,73,31,65,45
425,17553103,65,35,69,35
426,17553104,47,58,53,57
427,17553105,67,40,64,44
428,17553107,50,80,44,83
429,17553109,82,15,73,28
430,17553110,67,46,64,45
431,17553111,59,43,57,56
432,17553112,59,42,61,43
433,17553115,41,53,49,53
434,17553116,67,40,62,42
435,17553117,60,43,65,42
436,17553118,60,43,68,45
437,17553119,55,67,55,58
438,17553122,62,41,65,41
439,17553123,66,41,61,43
440,17553126,57,46,67,48
441,17553127,66,43,67,48
442,17553130,61,43,61,46
443,17553131,38,46,67,48
444,17553134,40,58,42,60
445,17553137,44,50,46,54
446,17553138,51,57,59,44
447,17553139,55,63,53,62
448,17553141,63,43,67,48
449,17553140,60,56,55,44
450,17553143,37,68,35,69
451,17553144,64,48,65,45
452,17553146,60,50,60,44
453,17553147,57,46,65,46
454,17553148,60,46,64,45
455,17553149,51,47,54,45
456,17553150,55,43,64,44
457,17553153,71,47,60,56
458,17553154,44,50,55,54
459,17553155,50,43,61,43
460,17553157,46,75,44,70
461,17553158,53,48,61,43
462,17553160,58,49,64,43
463,17553161,29,56,41,53
464,17553162,77,19,76,17
465,17553163,62,53,59,44
466,17553169,59,44,62,43
467,17553166,55,58,64,45
468,17553170,63,50,61,48
469,17553171,41,53,46,54
470,17553172,63,42,66,44
471,17553174,38,54,58,43
472,17553175,47,52,62,48
473,17553177,25,64,35,64
474,17553180,59,43,68,45
475,17553181,58,49,59,43
476,17553182,43,52,44,41
477,17553185,68,45,64,42
478,17553186,48,66,56,64
479,17553187,41,52,65,45
480,17553188,62,53,61,55
481,17553189,59,44,52,44
482,17553192,66,37,64,43
483,17553193,65,45,65,46
484,17553194,59,43,54,44
485,17553200,65,46,62,43
486,17553202,55,55,54,55
487,17553203,45,63,62,49
488,17553204,59,44,55,43
489,17553205,51,65,53,64
490,17553210,60,49,59,44
491,17553213,67,33,59,43
492,17553214,63,40,61,43
493,17553217,59,43,64,44
494,17553218,38,54,46,54
495,17553219,54,44,60,44
496,17553220,62,53,62,43
497,17553222,44,70,46,72
498,17553223,60,42,66,39
499,17553226,43,52,46,54
500,17553228,62,58,63,45
501,17553229,46,72,51,72
502,17553231,52,38,62,43
503,17553232,42,50,59,44
504,17553233,62,42,65,45
505,17553236,56,47,56,47
506,17553240,60,50,60,43
507,17553241,55,57,61,48
508,17553243,56,52,59,44
509,17553245,62,53,66,45
510,17553246,58,54,60,53
511,17553247,54,30,58,43
512,17553248,63,50,67,48
513,17553252,47,52,65,46
514,17553254,39,49,64,44
515,17553255,64,41,63,43
516,17553256,43,50,47,50
517,17553257,48,82,44,83
518,17553260,47,47,59,44
519,17553262,59,43,65,41
520,17553263,59,44,62,46
521,17553264,37,57,55,43
522,17553267,60,44,65,46
523,17553268,67,40,64,42
524,17553270,72,47,63,50
525,17553271,59,44,64,45
526,17553272,15,66,18,66
527,17553273,63,43,64,48
528,17553274,58,58,52,55
529,17553275,41,93,44,96
530,17553277,63,57,69,45
531,17553278,48,68,43,68
532,17553280,67,40,66,43
533,17553283,83,19,76,15
534,17553284,49,50,58,49
535,17553286,51,47,53,43
536,17553288,54,45,60,43
537,17553291,59,44,45,42
538,17553290,66,43,67,40
539,17553293,55,58,60,49
540,17553294,59,44,63,45
541,17553295,51,47,52,45
542,17553296,55,55,62,43
543,17553297,64,41,56,39
544,17553298,52,37,46,40
545,17553299,58,49,59,44
546,17553300,65,45,60,43
547,17553302,63,40,64,43
548,17553303,56,60,61,55
549,17553304,30,45,58,43
550,17553305,43,50,64,43
551,17553306,60,42,63,43
552,17553307,69,46,67,48
553,17553311,53,48,58,49
554,17553312,59,44,64,44
555,17553313,49,64,53,64
556,17553315,62,50,61,46
557,17553317,46,53,61,43
558,17553319,65,51,56,47
559,17553320,57,56,64,49
560,17553323,66,40,61,43
561,17553324,58,45,62,48
562,17553325,60,46,69,46
563,17553326,58,50,60,46
564,17553329,63,42,66,42
565,17553330,66,39,59,37
566,17553331,65,36,59,44
567,17553332,55,68,51,69
568,17553333,59,43,49,50
569,17553334,55,63,53,53
570,17553337,59,43,52,43
571,17553338,59,44,55,44
572,17553339,46,41,52,42
573,17553340,61,46,59,44
574,17553341,63,42,67,49
575,17553342,65,53,68,47
576,17553350,59,44,46,41
577,17553351,59,43,52,45
578,17553353,48,68,38,62
579,17553356,45,81,50,80
580,17553355,68,47,64,49
581,17553357,53,48,52,44
582,17553362,40,95,44,96
583,17553363,46,54,61,48
584,17553364,45,52,60,43
585,17553365,54,54,60,48
586,17553367,43,57,43,52
587,17553368,58,52,67,49
588,17553370,63,52,61,48
589,17553371,59,43,55,44
590,17553373,66,37,66,39
591,17553374,58,50,58,49
592,17553375,59,47,63,45
593,17553376,47,49,59,43
594,17553377,58,58,63,45
595,17553379,44,41,52,38
596,17553380,49,50,55,44
597,17553384,73,28,66,37
598,17553386,55,44,62,53
599,17553385,58,43,63,43
600,17553387,62,50,63,45
601,17553388,39,66,44,64
602,17553393,55,55,58,49
603,17553395,47,49,47,50
604,17553396,60,57,66,45
605,17553398,43,68,43,68
606,17553399,60,43,63,43
607,17553400,52,40,46,40
608,17553401,58,49,63,43
609,17553402,61,45,58,49
610,17553403,66,44,60,44
611,17553404,59,44,61,46
612,17553405,54,38,61,43
613,17553407,66,44,62,48
614,17553409,66,43,66,44
615,17553411,59,43,63,45
616,17553412,60,44,64,48
617,17553414,63,52,68,45
618,17553415,67,40,35,39
619,17553417,38,62,46,63
620,17553418,66,36,54,44
621,17553419,59,47,58,45
622,17553422,60,56,58,49
623,17553425,45,46,64,49
624,17553424,66,44,66,50
625,17553426,60,46,65,47
626,17553428,59,37,59,44
627,17553430,55,53,67,48
628,17553432,30,35,36,38
629,17553433,65,50,63,45
630,17553440,40,88,42,90
631,17553437,60,43,61,43
632,17553438,52,44,59,44
633,17553442,52,37,59,44
634,17553443,63,48,62,51
635,17553447,58,43,44,44
636,17553449,58,43,65,45
637,17553450,62,50,58,49
638,17553454,60,43,64,45
639,17553457,62,49,64,42
640,17553460,59,43,63,47
641,17553458,62,48,61,46
642,17553459,52,37,47,37
643,17553461,68,47,63,43
644,17553463,59,43,58,45
645,17553465,42,55,45,52
646,17553466,49,56,52,55
647,17553467,61,32,59,44
648,17553468,68,36,62,48
649,17553470,52,45,61,45
650,17553472,55,63,61,43
651,17553477,60,46,59,47
652,17553478,60,50,67,48
653,17553480,55,58,63,44
654,17553482,47,48,59,44
655,17553483,59,44,64,48
656,17553485,42,59,58,43
657,17553489,52,43,58,43
658,17553490,59,51,59,44
659,17553494,54,38,66,44
660,17553495,53,48,67,48
661,17553497,57,46,55,44
662,17553499,64,41,64,43
663,17553502,46,75,50,75
664,17553503,67,45,62,48
665,17553505,58,55,66,44
666,17553506,48,68,53,66
667,17553507,51,58,60,59
668,17553512,60,43,62,48
669,17553515,45,81,44,83
670,17553516,62,50,67,49
671,17553517,69,46,66,44
672,17553519,62,43,62,46
673,17553520,71,47,66,43
674,17553521,54,55,58,49
675,17553522,63,45,67,49
676,17553523,55,44,63,45
677,17553524,60,40,59,42
678,17553526,71,47,53,48
679,17553528,43,54,61,43
680,17553532,47,65,53,66
681,17553534,58,45,63,47
682,17553536,64,48,58,45
683,17553538,64,49,64,44
684,17553541,54,55,56,52
685,17553542,62,41,60,42
686,17553547,64,49,58,45
687,17553551,55,42,52,40
688,17553553,63,50,62,43
689,17553555,61,59,66,50
690,17553557,44,50,52,44
691,17553558,62,41,64,45
692,17553560,46,53,56,47
693,17553561,63,42,61,43
694,17553562,62,50,62,46
695,17553563,43,50,56,47
696,17553565,36,72,44,70
697,17553566,66,44,57,45
698,17553568,58,43,61,45
699,17553569,47,37,50,36
700,17553571,61,43,65,42
701,17553572,62,17,77,16
702,17553573,59,43,59,47
703,17553574,47,61,54,60
704,17553575,52,44,54,45
705,17553576,47,61,62,51
706,17553578,50,44,64,48
707,17553579,68,45,64,45
708,17553580,56,47,56,41
709,17553581,77,19,76,15
710,17553583,49,60,43,54
711,17553582,46,54,55,57
712,17553589,42,50,46,54
713,17553590,61,59,59,44
714,17553591,63,50,61,46
715,17553592,55,58,58,49
716,17553593,62,51,61,45
717,17553596,60,44,66,50
718,17553597,43,47,52,43
719,17553598,61,43,59,44
720,17553599,61,31,63,29
721,17553600,52,44,61,45
722,17553601,64,49,65,45
723,17553602,32,55,34,56
724,17553603,49,50,59,44
725,17553607,61,48,64,49
726,17553608,49,50,59,43
727,17553610,62,48,62,43
728,17553611,62,41,61,43
729,17553614,54,44,59,44
730,17553615,66,42,67,40
731,17553616,33,99,39,100
732,17553617,63,47,68,47
733,17553618,60,43,66,44
734,17553620,25,68,35,69
735,17553621,63,29,65,28
736,17553623,66,37,61,43
737,17553624,60,50,66,45
738,17553626,47,49,63,44
739,17553627,47,49,59,44
740,17553630,55,57,49,58
741,17553631,66,40,63,45
742,17553634,64,49,60,46
743,17553635,59,43,61,46
744,17553637,66,39,61,43
745,17553638,60,57,63,45
746,17553639,82,17,69,17
747,17553640,55,43,46,40
748,17553641,63,50,63,47
749,17553642,58,49,61,46
750,17553645,62,54,60,46
751,17553647,43,36,66,43
752,17553649,49,63,62,49
753,17553651,61,43,74,39
754,17553652,58,49,59,47
755,17553654,54,59,64,44
756,17553656,37,53,46,54
757,17553657,66,37,63,45
758,17553658,67,38,60,40
759,17553661,50,43,65,45
760,17553662,50,36,52,42
761,17553663,43,48,61,43
762,17553664,46,54,58,49
763,17553667,60,44,63,45
764,17553669,62,54,60,53
765,17553668,41,53,41,52
766,17553670,54,37,46,40
767,17553671,58,43,54,45
768,17553672,38,46,47,49
769,17553675,63,50,59,44
770,17553674,62,43,65,45
771,17553677,60,48,61,46
772,17553678,62,53,58,49
773,17553683,62,50,65,45
774,17553686,39,34,39,35
775,17553687,59,43,66,50
776,17553689,56,47,64,43
777,17553690,76,17,76,15
778,17553692,38,50,65,46
779,17553695,79,17,86,17
780,17553698,62,43,60,43
781,17553699,58,45,59,47
782,17553700,56,52,64,44
783,17553702,60,44,66,44
784,17553704,60,44,67,48
785,17553705,57,45,65,46
786,17553706,62,48,63,44
787,17553707,61,43,65,41
788,17553709,62,43,66,44
789,17553710,49,67,56,60
790,17553713,60,46,58,45
791,17553714,66,36,62,42
792,17553715,56,39,68,45
793,17553718,58,52,47,50
794,17553719,86,17,77,16
795,17553720,63,29,67,31
796,17553723,60,56,53,56
797,17553724,56,39,63,43
798,17553726,47,61,55,58
799,17553727,61,55,52,44
800,17553728,54,44,58,43
801,17553730,43,48,47,45
802,17553731,60,42,65,42
803,17553732,52,37,66,40
804,17553735,44,64,46,63
805,17553736,47,45,61,43
806,17553738,60,40,46,40
807,17553740,51,58,51,57
808,17553742,51,72,44,70
809,17553743,50,43,59,41
810,17553745,59,44,66,48
811,17553747,63,50,58,49
812,17553748,56,66,65,45
813,17553749,77,22,76,15
814,17553750,51,47,44,44
815,17553752,47,48,60,43
816,17553751,63,50,62,48
817,17553753,66,39,74,39
818,17553754,64,41,64,45
819,17553756,65,45,68,45
820,17553757,53,48,59,44
821,17553758,37,57,38,54
822,17553759,60,57,60,59
823,17553760,60,46,66,44
824,17553761,44,70,35,68
825,17553764,34,57,34,55
826,17553765,52,43,64,43
827,17553768,69,32,66,29
828,17553769,59,47,65,45
829,17553770,58,43,60,46
830,17553773,63,43,65,47
831,17553776,61,43,65,46
832,17553777,66,36,64,45
833,17553778,66,50,61,45
834,17553786,56,36,69,39
835,17553781,64,48,58,49
836,17553782,62,51,63,43
837,17553783,59,42,59,44
838,17553787,60,56,64,48
839,17553788,53,48,59,43
840,17553790,55,55,56,52
841,17553791,46,60,49,53
842,17553793,58,55,60,43
843,17553794,67,49,65,45
844,17553797,42,72,44,67
845,17553799,59,44,60,46
846,17553800,64,45,65,41
847,17553804,53,43,56,33
848,17553805,67,40,66,44
849,17553806,29,58,57,45
850,17553807,50,41,54,41
851,17553808,67,38,66,42
852,17553809,66,45,61,45
853,17553810,47,52,55,43
854,17553811,50,44,58,49
855,17553812,59,44,58,43
856,17553813,56,60,66,45
857,17553814,60,44,68,45
858,17553815,83,20,77,16
859,17553816,64,45,60,43
860,17553821,61,55,63,50
861,17553823,57,45,58,43
862,17553825,29,56,53,48
863,17553826,60,40,60,43
864,17553827,69,29,66,29
865,17553828,40,95,43,98
866,17553829,53,43,61,45
867,17553831,65,47,63,45
868,17553834,59,44,66,50
869,17553833,53,48,61,45
870,17553835,59,44,50,44
871,17553836,66,43,60,42
872,17553839,67,45,64,44
873,17553844,44,83,47,85
874,17553843,63,52,56,52
875,17553845,58,45,71,47
876,17553846,58,43,44,41
877,17553847,60,56,67,48
878,17553848,56,39,55,39
879,17553849,58,43,55,42
880,17553850,59,43,60,40
881,17553851,68,47,60,44
882,17553855,60,44,64,45
883,17553856,50,44,65,42
884,17553857,58,50,62,46
885,17553859,64,49,67,49
886,17553858,63,47,66,43
887,17553860,63,48,61,43
888,17553863,60,43,62,46
889,17553864,69,45,60,46
890,17553865,57,61,61,46
891,17553867,66,39,61,45
892,17553868,50,48,47,48
893,17553869,62,49,63,45
894,17553871,49,64,49,60
895,17553872,64,48,55,54
896,17553873,59,44,60,44
897,17553879,57,32,57,45
898,17553881,63,42,65,47
899,17553882,62,42,60,44
900,17553883,55,39,46,40
901,17553884,66,44,67,45
902,17553887,66,48,64,45
903,17553890,60,46,63,47
904,17553891,65,46,59,44
905,17553894,61,45,68,45
906,17553893,50,36,51,40
907,17553896,77,22,77,16
908,17553898,59,43,67,49
909,17553901,42,70,44,64
910,17553900,66,44,60,48
911,17553903,59,44,60,42
912,17553906,50,78,50,80
913,17553907,62,46,59,44
914,17553909,59,43,52,44
915,17553910,56,47,57,46
916,17553912,58,43,60,44
917,17553913,55,64,62,49
918,17553915,58,49,66,42
919,17553916,69,28,83,19
920,17553917,62,53,61,45
921,17553918,63,45,66,45
922,17553920,47,73,50,75
923,17553921,66,44,61,45
924,17553923,64,49,66,45
925,17553924,49,58,53,58
926,17553926,66,45,62,48
927,17553927,64,49,67,48
928,17553928,63,52,62,48
929,17553930,62,46,54,45
930,17553931,69,45,63,45
931,17553932,56,52,62,49
932,17553933,65,45,60,44
933,17553936,58,43,47,42
934,17553937,51,59,53,58
935,17553938,49,53,57,45
936,17553941,45,46,54,44
937,17553944,67,45,61,43
938,17553945,59,47,64,45
939,17553947,83,19,82,17
940,17553948,61,48,59,43
941,17553949,68,45,65,45
942,17553953,62,43,63,45
943,17553956,53,62,61,46
944,17553957,66,44,61,46
945,17553959,67,31,66,37
946,17553961,69,28,69,28
947,17553963,56,52,58,52
948,17553967,67,49,58,45
949,17553968,58,43,59,44
950,17553970,54,59,61,55
951,17553971,38,50,64,45
952,17553973,66,39,47,42
953,17553974,62,49,58,49
954,17553978,64,45,64,49
955,17553979,56,64,48,66
956,17553980,56,66,53,64
957,17553981,60,59,62,54
958,17553988,60,48,63,44
959,17553989,39,66,44,66
960,17553996,54,44,60,46
961,17553999,59,43,55,43
962,17554001,59,37,64,43
963,17554007,43,48,60,44
964,17554008,54,45,52,43
965,17554010,69,48,64,48
966,17554011,67,45,63,43
967,17554012,66,39,60,43
968,17554013,61,45,61,46
969,17554018,67,48,66,45
970,17554019,68,45,60,43
971,17554020,53,43,63,43
972,17554021,59,44,69,48
973,17554028,66,48,66,44
974,17554029,59,44,48,39
975,17554030,59,37,54,41
976,17554031,43,47,65,47
977,17554032,59,44,45,52
978,17554033,59,34,63,35
979,17554036,55,55,55,43
980,17554037,64,48,71,47
981,17554041,63,45,61,43
982,17554042,64,48,61,43
983,17554044,64,48,63,43
984,17554046,60,57,66,42
985,17554048,63,52,60,44
986,17554052,67,48,63,47
987,17554056,46,77,49,63
988,17554053,44,66,72,47
989,17554054,59,44,53,43
990,17554060,51,58,44,41
991,17554061,66,37,64,45
992,17554064,37,68,34,70
993,17554065,48,82,46,72
994,17554066,58,45,45,46
995,17554068,57,45,64,45
996,17554070,55,63,49,64
